"","GEOID","County","State","Year","Race","Population","Householder","head.rate"
"265","55127","Walworth County","Wisconsin",2006,"All",101007,37863,0.374855208054887
"266","55127","Walworth County","Wisconsin",2006,"White",95821,35833,0.373957691946442
"267","55127","Walworth County","Wisconsin",2006,"Black",618,373,0.603559870550162
"268","55127","Walworth County","Wisconsin",2006,"Asian",744,359,0.48252688172043
"269","55127","Walworth County","Wisconsin",2006,"NH_White",NA,34756,NA
"270","55127","Walworth County","Wisconsin",2006,"Hispanic",NA,1892,NA
"271","55127","Walworth County","Wisconsin",2006,"Other",3824,1298,0.339435146443515
"272","55127","Walworth County","Wisconsin",2006,"NH",NA,35971,NA
"273","17007","Boone County","Illinois",2007,"All",51622,NA,NA
"274","17007","Boone County","Illinois",2007,"White",46451,NA,NA
"275","17007","Boone County","Illinois",2007,"Black",960,NA,NA
"276","17007","Boone County","Illinois",2007,"Asian",617,NA,NA
"277","17007","Boone County","Illinois",2007,"NH_White",NA,14030,NA
"278","17007","Boone County","Illinois",2007,"Hispanic",NA,2031,NA
"279","17007","Boone County","Illinois",2007,"Other",3594,NA,NA
"280","17007","Boone County","Illinois",2007,"NH",NA,NA,NA
"281","17031","Cook County","Illinois",2007,"All",5288161,1935764,0.366056177185226
"282","17031","Cook County","Illinois",2007,"White",2748933,1137332,0.413735802218534
"283","17031","Cook County","Illinois",2007,"Black",1356992,470748,0.346905508654436
"284","17031","Cook County","Illinois",2007,"Asian",296621,100671,0.339392693032523
"285","17031","Cook County","Illinois",2007,"NH_White",2386331,1039920,0.435781959837089
"286","17031","Cook County","Illinois",2007,"Hispanic",1188854,307199,0.258399265174698
"287","17031","Cook County","Illinois",2007,"Other",885615,227013,0.256333734184719
"288","17031","Cook County","Illinois",2007,"NH",4099307,1628565,0.397278125302643
"289","17037","DeKalb County","Illinois",2007,"All",101275,35451,0.350046901999506
"290","17037","DeKalb County","Illinois",2007,"White",86713,31418,0.362321681870077
"291","17037","DeKalb County","Illinois",2007,"Black",5621,1727,0.307240704500978
"292","17037","DeKalb County","Illinois",2007,"Asian",2783,771,0.27703916636723
"293","17037","DeKalb County","Illinois",2007,"NH_White",82317,30617,0.371940182465347
"294","17037","DeKalb County","Illinois",2007,"Hispanic",9140,1979,0.216520787746171
"295","17037","DeKalb County","Illinois",2007,"Other",6158,1535,0.249269243260799
"296","17037","DeKalb County","Illinois",2007,"NH",92135,33472,0.363292993976231
"297","17043","DuPage County","Illinois",2007,"All",928086,335292,0.361272554483097
"298","17043","DuPage County","Illinois",2007,"White",752788,282147,0.374802733306057
"299","17043","DuPage County","Illinois",2007,"Black",39351,14253,0.362201722954944
"300","17043","DuPage County","Illinois",2007,"Asian",89066,27261,0.306076392787371
"301","17043","DuPage County","Illinois",2007,"NH_White",679212,261841,0.385507028733297
"302","17043","DuPage County","Illinois",2007,"Hispanic",109647,29473,0.268798963947942
"303","17043","DuPage County","Illinois",2007,"Other",46881,11631,0.248096243680809
"304","17043","DuPage County","Illinois",2007,"NH",818439,305819,0.373661323568403
"305","17063","Grundy County","Illinois",2007,"All",45412,16696,0.367656126134061
"306","17063","Grundy County","Illinois",2007,"White",43210,16090,0.372367507521407
"307","17063","Grundy County","Illinois",2007,"Black",745,231,0.31006711409396
"308","17063","Grundy County","Illinois",2007,"Asian",162,60,0.37037037037037
"309","17063","Grundy County","Illinois",2007,"NH_White",NA,15343,NA
"310","17063","Grundy County","Illinois",2007,"Hispanic",NA,874,NA
"311","17063","Grundy County","Illinois",2007,"Other",1295,315,0.243243243243243
"312","17063","Grundy County","Illinois",2007,"NH",NA,15822,NA
"313","17089","Kane County","Illinois",2007,"All",489641,160402,0.32759103097984
"314","17089","Kane County","Illinois",2007,"White",386986,133276,0.344394887670355
"315","17089","Kane County","Illinois",2007,"Black",27530,9193,0.333926625499455
"316","17089","Kane County","Illinois",2007,"Asian",14331,4387,0.306119600865257
"317","17089","Kane County","Illinois",2007,"NH_White",307520,113891,0.370353147762747
"318","17089","Kane County","Illinois",2007,"Hispanic",136024,32276,0.237281656178321
